Title,Abstract,Authors,documentType,pub_month,pub_year,pubtitle,subjectTerms,Database
Avoid Sue-Happy Consumers,"Don't feel too safe just because there aren't a lot of financial planners who get sued by their clients. Business Insider reports a whopping 95% of financial advisers don't even have a customer complaint against them, according to Houston-based plaintiff lawyer Tom Ajamie, but that doesn't mean litigious customers aren't out there. Business Insider advises you to keep meticulous paperwork, document all conversations, and be willing to share the bad news as well as the good news.",Anonymous, News,Nov,2014,Journal of Financial Planning," Financial planners , Litigation , Risk exposure , United States--US",ProQuest One Academic
Merging Digital and Traditional Lead Generation Strategies,"Prior to 1998, when Google launched its search engine, the term ""marketing mix"" was defined as the blended use of direct mail, radio, television, and print advertising. This was the mix that financial planning companies used to promote their services. Since then, the rapid acceptance and use of search engines and social media applications has caused financial planners to face the stark reality: to succeed, it's important to integrate a strong digital presence into traditional marketing. Tips when developing your digital marketing plan are presented. They are: 1. Recognize your target clients' needs. 2. Optimize local search listings. 3. Solicit reviews. 4. Establish your digital voice. 5. Establish an emotional connection. 6. Target your messages.","Villar, Jorge", Feature,Nov,2014,Journal of Financial Planning," Guidelines , Financial planners , Marketing , Integrated marketing , Search engines , United States--US",ProQuest One Academic
STAT BANK,,Anonymous, General Information,Nov,2014,Journal of Financial Planning,,ProQuest One Academic
FPA'S ANNUAL CONFERENCE BE: Seattle 2014,,Anonymous, General Information,Nov,2014,Journal of Financial Planning,,ProQuest One Academic
CE 1 hour Investment Planning,,Anonymous, General Information,Nov,2014,Journal of Financial Planning,,ProQuest One Academic
Benefits and Drawbacks of 401(k) Loans in a Low Interest Rate Environment,"Many 401(k) plans offer participants the option to borrow from their own accounts. Details and restrictions vary across plans, but generally the minimum amount is $1,000 with the maximum amount being the lesser of $50,000 or 50% of the vested account balance. Li and Smith (2008) and Lu and Mitchell (2010) found that liquidity constrained households are more likely to take 401(k) loans. However, Li and Smith (2008) also noted that 401(k) borrowing has been increasing among households that are not liquidity constrained. The main argument against borrowing from a 401(k) is lost investment return. The money borrowed is paid back with a fixed amount of interest rather than a potentially higher return from stock and bond investments. Although the interest rate and the investment return are the most important factors, other variables can dramatically reduce the benefits of 401(k) loans. Origination fees, maintenance fees, size of the loan, and the return on savings are relevant factors that need to be considered.","Johnston, Jarrod, PhD, CFP;Roten, Ivan, PhD, CFP", Feature,Nov,2014,Journal of Financial Planning," Interest rates , Loans , Liquidity , Rates of return , Retirement plan loans , United States--US",ProQuest One Academic
Succession Planning: Are You Proactive or Reactive?,"Firms are faced with the flip side of that hard truth -- at some point, their top financial advisers will be retiring. There are two ways to approach this hard truth: by proactively planning, or by reactively scrambling. Reactively scrambling means pushing off the conversations around how to transfer the value that is represented in a retiring adviser's book of business, holding on to the idea that an adviser will never retire. There is a real opportunity in succession planning if you are willing to get proactive. That means reaching out early and often to start conversations around succession. When planning proactively, the focus isn't only on advisers who are already in the process of retiring. Instead, the focus needs to be on seasoned advisers who are starting to or thinking about ""slowing down.""","Flynn, Daniel J", Feature,Nov,2014,Journal of Financial Planning," Financial planners , Succession planning , United States--US",ProQuest One Academic
New Perspectives on the Active versus Passive Debate,"In the mutual funds literature, it has become a virtually stylized fact that, on average, mutual funds with greater operating expenses generate lower net-of-expense returns to their shareholders. Such findings have spurred the trend toward low-cost passive investing. The purpose of this month's column is not to advocate one particular portfolio management strategy over another, but rather to suggest some additional ways to think about which strategy to choose. The main point is that the popularity of active strategies varies over time depending on the ferocity of the competition for acquiring information. Moreover, both the popularity of active strategies and the ferocity of the competition for acquiring information vary across investment categories. In each of the FPA Trends in Investing Surveys from 2006 through 2014, mutual funds ranked as the most popular investment vehicle used by financial advisers. Surely advisers have more to say to their clients about mutual fund selection than ""just buy a cheap passively managed fund.""","Nanigian, David, PhD", Feature,Nov,2014,Journal of Financial Planning," Meta-analysis , Financial planners , Mutual funds , Portfolio investments , Portfolio management , United States--US",ProQuest One Academic
The Changing Risk-Return Characteristics of Value and Growth Investing,"Ever since the decision by Morningstar to classify domestic equity mutual funds into one of nine style categories, financial advisers have often been faced with the task of assessing the risk-return characteristics of these equity styles. Investment advisers are perhaps familiar with the historic evidence that portfolios of small companies tend to have higher long-term average returns but also higher volatility than portfolios of large companies. However, the performance of so-called ""value"" stocks versus ""growth"" stocks is less known and more controversial. The purpose of this paper is to explore in depth the risk-return characteristics of value and growth portfolios. In particular, the authors focus on the possibility of average returns and risk changing over time. By examining the historic behavior of these investing styles, it is possible to obtain a better sense of the magnitude and stability of each style's risk and returns. This, in turn, will help investment advisers better match the investment style to their clients.","Emm, Ekaterina E, PhD;Trevino, Ruben C, PhD", Feature,Nov,2014,Journal of Financial Planning," Growth stocks , Mutual funds , Risk management , Investment policy , Rates of return , Value stocks , Portfolio management , United States--US",ProQuest One Academic
Table of Contents,,Anonymous, Tbl Of Contents,Nov,2014,Journal of Financial Planning,,ProQuest One Academic
Credits,,Anonymous, Credits,Nov,2014,Journal of Financial Planning,,ProQuest One Academic
"The Future of Client Communication: Drive Engagement, Create Differentiation","For many financial advisers, increased business success creates an uncomfortable gap between their commitment to clients and what those clients actually experience. Great service is a necessary but not sufficient condition of an engaged client relationship. There are four components of an effective communication plan -- it is meaningful, profitable, defined, and communicated. To use client feedback effectively to co-create value, consider asking questions about what is important to clients and what they value. Clients may not be able to tell you what is missing, but an effective survey will help you identify the gaps and act as a prelude to a deeper conversation. The final, and perhaps more fundamental, question when it comes to co-creation involves defining the client. Those advisers who are embracing engagement as one of their key goals have a growing arsenal of tactics at their disposal to create an experience that is meaningful and differentiated.","Littlechild, Julie", Cover Story,Nov,2014,Journal of Financial Planning," Communication , Effectiveness , Customer satisfaction , Client relationships , Financial services , United States--US",ProQuest One Academic
Myth Busters,"A recent LearnVest story, which was re-run in Forbes in October to honor Financial Planning Week, debunked six myths consumers have about financial planning that might motivate more people to solicit your services. The myths are: 1. Financial planners are only for the rich. 2. If a person's finances are simple, they can handle them on their own. 3. Financial planners only help with investing. 4. Once they secure you, they don't need to do anything. 5. Financial planners only care about making money for themselves. 6. Credentials don't matter.",Anonymous, Commentary,Nov,2014,Journal of Financial Planning," Financial planning , False information , Financial planners , United States--US",ProQuest One Academic
Fixing the 5 Biggest Mistakes Planners Make Helping Clients Manage Risk,"Successfully planning and investing in this rapidly changing, unpredictable environment places increasing importance on effective risk communications and risk management. This article reviews how financial planners can recognize and avoid some of the biggest unrecognized errors made in understanding and managing risk, while improving the quality of their risk communications with clients. The common mistakes are: 1. not asking clients what concerns them most, 2. not using an agreed upon empowering definition of risk, 3. not using a proven method for neutralizing risk, 4. lacking awareness of the characteristics of risk, and 5. not helping clients determine which risks to avoid and accept.","Carpenter, Michael T", Feature,Nov,2014,Journal of Financial Planning," Financial planners , Failure analysis , Client relationships , Risk management , United States--US",ProQuest One Academic
Create Wow Moments by Solving for Clients' Emotional Dynamics,"Understanding your clients' emotional dynamics -- the ways they prefer to be appreciated -- might be the single most important method for retaining those clients for life. Thankfully, it's not a very hard task. You simply need to ""think different"" when it comes to engaging with clients and prospects. Start paying attention to what your clients appreciate most. Generally speaking, their appreciation preferences will fall into one of the three categories: acknowledgement, time spent, and acts of service. Advisers who simply possess a rock solid investment background or offer a comprehensive financial plan aren't doing enough to compete these days. The key, then, is to be aware of your individual strengths and the strengths of your team members. Even if you are a solo practitioner, you can still identify a wow czar. The point is to take the concept of emotional dynamics in earnest.","Evans, John L, Jr", Commentary,Nov,2014,Journal of Financial Planning," Financial planners , Emotions , Client relationships , United States--US",ProQuest One Academic
4 Things to Know About Non-Transparent Active ETFs,"While exact methodologies differ, most proposals for non-transparent active ETFs center on the idea of having a ""proxy portfolio"" that tracks the value of the real portfolio. Market makers won't see what the ETF really holds, but they will see what the proxy portfolio holds. This idea has been standing at the SEC for so long that it's a running joke. But recent filings suggest that the time has come. Four key points to know about these new products are: 1. The structures are basically sound. 2. Trading will be wider than usual, but not terrible. 3. They will be better than regular active mutual funds. 4. But they'll still be active mutual funds.","Hougan, Matt", Commentary,Nov,2014,Journal of Financial Planning," Disclosure , Exchange traded funds , Portfolio investments , United States--US",ProQuest One Academic
Traditional Versus Roth 401(k) Contributions: The Effect of Employer Matches,"Many employees have the opportunity to contribute to 401(k) plans, but this opportunity has become more complicated in recent years as more employers have expanded their plans' options to include Roth 401(k) accounts in addition to traditional 401(k) accounts. Several papers, including Geisler (2006), and Geisler and Stern (2014), have examined the Roth 401(k) versus traditional 401(k) choice. The typical recommendation from these studies has been to contribute to the Roth retirement account if the tax rate during retirement will be higher than the current tax rate, or contribute to the traditional type retirement account if the tax rate will be lower. An important aspect of 401(k) plans is that employers often match part or all of their employees' contributions. This paper analyzes the Roth 401(k) versus traditional 401(k) contribution decision, taking into account employer matching contributions. This paper presents after-tax accumulation models for the two options, shows the break-even point where they are equivalent, and illustrates the models through numerical examples.","Geisler, Greg, PhD;Hulse, David, PhD", Feature,Oct,2014,Journal of Financial Planning," Studies , Impact analysis , Tax rates , Roth 401k plans , Employers , Retirement planning , Deferred compensation , United States--US",ProQuest One Academic
A Tale of 2 Stats: Money Tight; Disposable Income Up,"Americans are still looking through a lens of doom and gloom when it comes to the economy, the Pew Research Center recently reported. Fifty-six percent of those surveyed in August indicated they were ""falling behind"" financially, while 37% said they were staying even, and 5% said their income was going up faster. Women, ethnic minorities, and those in the age group 18-29 were more likely to experience financial problems, Pew reported. Those surveyed also said they have a glum outlook on the availability of ""good jobs.""",Anonymous, News,Oct,2014,Journal of Financial Planning," Polls & surveys , Demographics , Personal income , United States--US",ProQuest One Academic
Robo-What? Investors Opt for Humans,"According to a recent Gallup more investors choose to work with a human financial adviser than an online advice service. When Gallup polled US investors with $10,000 or more in stocks, bonds, mutual funds, or in a self-directed IRA or 401(k), asking how they receive financial advice on investing or retirement planning, 44% of respondents indicated they use a dedicated, personal financial adviser; 33% use a firm where they can call into a call center and speak to an adviser; 29% say a friend or family member provides them financial advice; and 20% use an online financial planning or investing Web site.",Anonymous, News,Oct,2014,Journal of Financial Planning," Financial planners , Polls & surveys , Individual retirement accounts--IRA , Retirement planning , United States--US",ProQuest One Academic
Diversifying with Commodity ETFs,"For an added layer of diversification, investment portfolios can include a broad basket of commodities. However, financial advisers seeking to include a commodity ETF in their lineup must be aware, as these ETFs are not your typical stock fund. From 1970 to 2004, commodities showed a negative correlation to other asset classes like global equities and domestic fixed-income securities. However, the correlation between commodities and the broader stock market did spike after the financial crisis, but it has since diminished, according to Morningstar data. Commodity ETFs and other funds that invest in futures contracts are susceptible to contango, which occurs when the price on a futures contract is higher than the expected future spot price, creating the upward sloping curve on future commodity prices overtime.","Lydon, Tom", Commentary,Oct,2014,Journal of Financial Planning," Portfolio diversification , Exchange traded funds , Commodity prices , Commodity futures , United States--US",ProQuest One Academic
It Was 20 Years Ago Today,"October 2014 would be the 20th anniversary of Bill Bengen's groundbreaking initial article, ""Determining Withdrawal Rates Using Historical Data,"" about his research into sustainable and safe withdrawals in retirement. In the early 1990s, empirical research into sustainable withdrawals during retirement was understandably nonexistent. As late as 1995, stock-picking guru Peter Lynch claimed that a 7% withdrawal rate from an all-stock portfolio was appropriate. The flaw in this early conventional wisdom was assuming that the average annual return and inflation rate mattered more than the sequence of annual results that comprised them. When you read just the opening page of ""Determining Withdrawal Rates Using Historical Data,"" from the October 1994 Journal, you quickly note Bengen's imaginative use of scenario planning, his appreciation for the human dimension of advising clients, his connection of past approaches to their real-world flaws, and his sense that objective and data-driven analysis was needed to shed sufficient light on his subject.","Guyton, Jonathan, CFP®", Cover Story,Oct,2014,Journal of Financial Planning," Financial planners , Data analysis , Withdrawals , Retirement plans , United States--US , Bengen, William P",ProQuest One Academic
STAT BANK,,Anonymous, General Information,Oct,2014,Journal of Financial Planning,,ProQuest One Academic
Filling the Void,,"Schulaka, Carly", General Information,Oct,2014,Journal of Financial Planning,,ProQuest One Academic
Continuing Education Credit,,Anonymous, General Information,Oct,2014,Journal of Financial Planning,,ProQuest One Academic
Table of contents,,Anonymous, Tbl Of Contents,Oct,2014,Journal of Financial Planning,,ProQuest One Academic
Timely Tax and Estate Strategies for Retirement Plans,"Current tax and estate planning may be especially challenging when it comes to passing assets held in Individual Retirement Accounts (IRA) and qualified plans, which can make up a significant portion of your clients' wealth. How your clients' IRAs are distributed to their heirs is stipulated by beneficiary designation forms provided by their IRA custodian -- not by their trust or will. Assess the following suitable pointers in accordance with your clients' estate planning intentions and income tax minimization goals: 1. prudent inherited IRA strategies, 2. trusts as beneficiaries to protect heirs, and 3. Roth IRA conversions and planned charitable bequests. Effective coordination with credentialed tax and estate specialists is pivotal to facilitate continuous planned giving strategies for your clients and their families.","Herzberg, Philip, CFP®, CTFA, AEP®", Commentary,Oct,2014,Journal of Financial Planning," Guidelines , Financial planners , Tax planning , Individual retirement accounts--IRA , Beneficiaries , Estate planning , United States--US",ProQuest One Academic
Give It Away,"Among the items often cited that are important for the advancement of the financial planning profession is pro bono services. Some practitioner leaders even want to require some level of pro bono activity among planners. Pro bono may indeed be that important to the profession, but you can think of many other reasons to participate in pro bono work that you find far more compelling. Supporting pro bono efforts means supporting people with real financial planners. Women's Initiative's programs are enhanced by pro bono financial planners helping these entrepreneurial women keep their personal finances in order. The most compelling reason to participate in pro bono is to have a hand in helping people who might not otherwise solicit a financial planner. The planning profession can have enormous impact by partnering with community organizations and providing pro bono services.","Moisand, Dan, CFP®", Commentary,Oct,2014,Journal of Financial Planning," Pro bono services , Financial planners , Financial planning , United States--US",ProQuest One Academic
Credits,,Anonymous, Credits,Oct,2014,Journal of Financial Planning,,ProQuest One Academic
Stephanie Sammons on Building Digital Influence and Succeeding in a Wired World,"In an interview, Wired Advisor founder/CEO Stephanie Sammons talked about the mistakes financial advisers make when blogging or interacting on LinkedIn, and how to build that digital influence without it being daunting or discouraging. She said that advisers have a lot of challenges today. It's a mature industry. There is margin compression, increased transparency, wealth transition due to an aging population, competition -- new and traditional -- and even industry credibility and regulatory hurdles. All that in the midst of a digital revolution. The industry is being significantly disrupted, but there still is, and always will be, a need for financial advisers. She thinks it's important to choose the content format where you are strong and most comfortable. You can write, create videos, do audio podcasts, or even a combination of these things. Just be careful about creating content that's not going to flatter you.","Schulaka, Carly", Interview,Oct,2014,Journal of Financial Planning," Financial planners , Technology adoption , Blogs , Chief executive officers , United States--US , Sammons, Stephanie",ProQuest One Academic
How Retirees Spend Their Time: Helping Clients Set Realistic Income Goals,"Financial planners help their clients maximize expected life-time utility, which is defined as a client's happiness or satisfaction. Standard household economic theory (Becker 1965) posits that individuals consume and derive utility from household produced commodities such as meals, a clean house, and a nice garden. These commodities are produced with goods and services but also with time. Production of a household commodity can be ""goods intensive."" That is, it can utilize more goods and services than time, or ""time intensive,"" utilizing more time than goods and services. Because individuals air consuming commodities rather than goods and services directly, financial planners must consider individuals' time use, as well as their purchases of goods and services, upon retirement. In this study, retirees were defined to be individuals aged 50 and older who reported that they were not in the labor force (not employed and not looking for work) or that they were retired.","Kalenkoski, Charlene M, PhD;Oumtrakool, Eakamon", Feature,Oct,2014,Journal of Financial Planning," Financial planners , Studies , Statistical data , Customer satisfaction , Personal income , Retirees , Commodities , United States--US",ProQuest One Academic
INSTITUTIONAL MEMBER GUIDE,,Anonymous, General Information,Oct,2014,Journal of Financial Planning,,ProQuest One Academic
Comparatively Speaking,"Progress is, by definition, a very personal issue because progress cannot be measured without first taking inventory of where you are now and where you would like to be in the future. The common dialogue in financial services has mistakenly placed greater emphasis on where you'd like to be than where you are at now to its own detriment. Progress is impossible to gauge without a clear picture of where one is at. It's difficult to deny that this idea of a comparative measure concept is most likely rooted in arrogance. It is not just the common practice of comparative measure that is problematic for the adviser/client relationship. Other mistakes in the ""measure mythology"" include: Predicting the future by looking backward and measuring against broad market patterns instead of specific and unique client needs and wants. Planners would do well to get their clients' minds off industry averages and place the magnifying glass on establishing personal bests in overall financial performance -- spending, saving, protecting, investing, and giving.","Anthony, Mitch", Commentary,Oct,2014,Journal of Financial Planning," Financial planners , Progress , Client relationships , United States--US",ProQuest One Academic
Retirement Planning by Targeting Safe Withdrawal Rates,"Financial advisers frequently find themselves in situations where traditional safe withdrawal rates do not apply. This article provides withdrawal rates for a variety of scenarios from which advisers can select based on the desired probability of success. And a new retirement income planning technique is presented that uses these withdrawal rates, eliminating the need to perform complex Monte Carlo simulations for each client. Three ways to think about safe withdrawal rates: 1. traditional safe withdrawal rates, 2. the target percentage adjustment (TPA), and 3. TPA with 3% maximum. By using lookup tables of safe withdrawal rates, the need to perform complex and cumbersome Monte Carlo simulations is eliminated. This simple technique results in a one-page tabular display that clients can easily understand. Better client understanding results in better client buy in, which in turn results in better client compliance to the retirement plan, more client empowerment, and more overall satisfaction with the financial planning process.","Zolt, David M, CFP®, EA, ASA, MAAA", Feature,Oct,2014,Journal of Financial Planning," Financial planners , Withdrawals , Retirement planning , Planning , United States--US",ProQuest One Academic
Are Your Clients Making the Right Loan Choice?,"Borrowing money is not necessarily a bad thing, but the costs of different loan options vary widely. To avoid financially dangerous situations and maximize wealth, it is important that consumers choose the proper borrowing options to finance their needs. One frequently overlooked loan option for the majority of people with defined contribution pension plans is a plan loan (commonly called a 401(k) loan). In this paper, the authors propose a hypothetical debt scenario to analyze and compare the costs of four loan options used to finance general consumption: 1. 401(k) loans, 2. credit card loans, 3. high-cost loans, and 4. home equity lines of credits (HELOC). The scenario analyses show that 401(k) loans, along with HELOCs, are one of the least expensive loan options under reasonable assumptions. This paper concludes by urging financial planners to take a more proactive role in introducing 401(k) loans to clients as a potentially cheaper loan option.","Tang, Ning, PhD;Lu, Timothy, PhD", Feature,Oct,2014,Journal of Financial Planning," Comparative analysis , Financial planners , Home equity loans , Loans , Retirement plan loans , United States--US",ProQuest One Academic
Worth a Few Bitcoins?,,"Schulaka, Carly", General Information,Sep,2014,Journal of Financial Planning,,ProQuest One Academic
Table of Contents,,Anonymous, Tbl Of Contents,Sep,2014,Journal of Financial Planning,,ProQuest One Academic
"Wins, Losses, and Lessons Learned","It almost seems arrogant to think the author has learned some lessons that you might benefit from. Yet after 48 years, there might be a few things that will interest you. He recently conducted a workshop on the 10 most important lessons he has learned over 48 years. Failure is the first important lesson. The few others are: 1. Manage change. 2. Know the future leadership and management. 3. Have a purpose. 4. Have a pressure release valve. 5. Understand how to use marketing and sales. 6. Participate in your profession.","Hayden, Vern C, CFP", Commentary,Sep,2014,Journal of Financial Planning," Guidelines , Financial planners , Success , Career advancement , United States--US",ProQuest One Academic
Why ETF-Only 401(k) Plans Don't Excite Me,"The author is not a fan of ETF-only 401(k) plans. Far fewer ETFs than mutual funds are available in the marketplace, and many of those are niche products that don't belong in a 401(k). Plus, he does not think employers really want employees trading ETFs during working hours. It's true ETFs in general have lower expenses than mutual funds, but he doesn't buy the argument that ETF-only plans would lower fund expenses if a plan already had low-cost funds in it. The second point is transparency. He's not on board with adding alternative investments to a 401(k) plan. It's not the place for them. That being said, he'd be open to a program that includes ETFs side-by-side with mutual funds in a 401(k), but that's difficult to do because of different settlement dates and trading mechanics.","Ferri, Rick", Commentary,Sep,2014,Journal of Financial Planning," Pension fund management , Exchange traded funds , Deferred compensation , United States--US",ProQuest One Academic
Financial Industry the World's Biggest Scam?,,Anonymous, General Information,Sep,2014,Journal of Financial Planning,,ProQuest One Academic
"Matt Oechsli on Delegation, Affluent Marketing, and Becoming an Elite Adviser","In an interview, Matt Oechsli, founder of The Oechsli Institute, talked about the characteristics of elite advisers, the problem with asking for referrals, and how affluent consumers have changed since the Great Recession. Oechsli said if advisers are in a serious growth mode, they have to delegate. To delegate requires staffing, hiring, training, supervision -- all these other dynamics come into the fold. The Great Recession has changed people's purchasing behaviors. The affluent, in regard to their purchasing decisions, have gone back to basics, back to family values. In the financial services bucket, advisers want investment performance to meet expectations, so it's important for advisers to be very clear on the expectations. The adviser of the future are the ones who have retooled their practice so they're absolutely relevant to their clients today. They're the ones who are bringing in new affluent relationships at a quicker pace. And at any time in their career, they're working furiously.","Schulaka, Carly", Interview,Sep,2014,Journal of Financial Planning," Financial planners , Personality traits , Great Recession , Skill development , United States--US , Oechsli, Matt",ProQuest One Academic
"""Are You Well Diversified?"" What Does That Really Mean?","The authors recently participated on a panel at an investment forum in Boston titled ""Identifying and Implementing True Diversifiers."" Their moderator, Bill Hornbarger, the chief investment strategist at the Moneta Group, offered the following observation that you know you're well diversified when there is always some part of your portfolio that you're not happy with. It helps if advisers appreciate that diversification is really just a means to an end, not an end in itself. Its goal is to decrease the risk in a portfolio while still allowing a healthy return. Whichever way portfolio risk is measured, the purpose of diversification is to optimize the risk/return trade-off at the portfolio level -- in both normal and stressed markets -- and the means it uses to do so is mixing together poorly correlated asset classes.","Miccolis, Jerry A, CFP, CFA, FCAS, CERA;Goodman, Marina, CFP, CFA", Commentary,Sep,2014,Journal of Financial Planning," Financial planners , Risk management , Portfolio diversification , United States--US",ProQuest One Academic
STAT BANK,,Anonymous, General Information,Sep,2014,Journal of Financial Planning,,ProQuest One Academic
The 5 Essential Skills of an Exceptional Financial Planner,"A successful client relationship is about giving clients objective, unbiased, personalized advice they'll actually implement in service to their goals. The successful relationship is also about understanding the difference between the right financial actions for that specific client versus what might be the right solution for you or another client. It's about having a deep connection to the client and forging one of the most important and trusting relationships that client will have in their life. Finally, it's about effective communications that help clients discover what's right for them without making them feel bad or judged. The five essential skills of an exceptional financial planner are presented. The skills are: 1. authenticity, 2. deep listening, 3. empathy, 4. non-judgment, and 5. curiosity.","Kirchenbauer, Lisa A K, CFP, RLP, CeFT", Feature,Sep,2014,Journal of Financial Planning," Financial planners , Skills , Client relationships , Affluence , United States--US",ProQuest One Academic
"FPA NexGen Past, Present, and Future","In a roundtable discussion, current and past NexGen leaders discussed the group's roots, its future, and the impact it is having on young professionals and the financial planning profession as a whole. Aaron S. Coates, FPA NexGen founder, said it was just a few years after they started NexGen that a lot of the profession was evolving in very positive ways. It was exciting to see that firms were on board with helping discover career paths and trying new things, and there became much more of a collaborative environment between those pioneers and the younger generation instead of a contentious, negative relationship between them. Michael Branham, FPA chair, said NexGen opens up its members -- particularly those who are really engaged and involved -- to a much broader world that exists around them; it allows young professionals to become involved in larger professional conversations, and he thinks that's a major impact that NexGen has had.","Kitces, Michael E, CFP, CLU, ChFC, RHU, REBC", Feature,Sep,2014,Journal of Financial Planning," Financial planners , Member services , Young adults , Professionals , Professional development , United States--US",ProQuest One Academic
The Value of Bitcoin in Enhancing the Efficiency of an Investor's Portfolio,"Bitcoin is a digital currency devised by a programmer or a group of programmers under the pseudonym of Satoshi Nakamoto. Nakamoto guided bitcoin's development until 2010. Unlike most virtual currencies, bitcoin can be exchanged for real-life goods and services on a limited basis. This paper attempts to answer the questions how useful bitcoin is as a currency, and what role bitcoin might play in enhancing the efficiency of an investor's portfolio. In an attempt to examine if bitcoin behaves like a currency, the authors examined the distributional properties of its returns along with those of other major currencies and gold. The analysis reveals that, as a currency, bitcoins are in their infancy. Currently, limited acceptability makes bitcoins a poor medium of exchange, while high volatility makes this asset a poor store of value. Given the observations, and the conclusions from the empirical analysis, individual investors can benefit from holding a small amount of bitcoins in a diversified portfolio.","Wu, Chen Y, PhD;Pandey, Vivek K, DBA, CFA, FRM", Cover Story,Sep,2014,Journal of Financial Planning," Studies , Digital currencies , Currency , Portfolio investments , Risk exposure",ProQuest One Academic
Are You (and Your Beneficiary Designations) up to Date?,"Financial planners typically focus on the most complex issues facing clients, such as determining the asset allocation, constructing the portfolio, calculating appropriate savings levels to meet retirement, educational and major purchase goals, and developing gifting and estate strategies to reduce or eliminate exposure to transfer taxes. Of course, these esoteric aspects of planning provide significant value for the client, but often the simplest actions and advice -- such as making sure that beneficiary designations are up to date -- are most important to a client. Beneficiary designations provide an easy way for a client to transfer wealth, but also pose a danger to the unwary. If circumstances change but the client's beneficiary designation does not, property may be transferred to an unintended recipient. Failure to review beneficiary designations is most definitely an error of omission by the planner.","Cordell, David M, PhD, CFP, CFA, CLU;Langdon, Thomas P, JD, LLM, CFP, CFA", Commentary,Sep,2014,Journal of Financial Planning," Financial planners , Fiduciary responsibility , Beneficiaries , United States--US",ProQuest One Academic
Credits,,Anonymous, Credits,Sep,2014,Journal of Financial Planning,,ProQuest One Academic
The Importance of Digital Asset Succession Planning for Small Businesses,"The digitization of business assets has created a need for small business owners to have a well-defined and well-managed digital asset succession plan in place. Traditionally, small business owners struggle with proper succession planning. Digital assets present an entirely new challenge when developing a succession plan. This paper defines digital assets and identifies the types of digital assets small business owners will most likely rely upon. It examines the traditional challenges small business owners face with succession planning and discusses specific challenges associated with creating a digital succession plan for a small business owner. Best practices for digital asset management during the lifetime of the business owner are also discussed, with a focus on how these practices can better prepare the small business owner to create a successful digital asset succession plan. Finally, the paper provides guidance on how to create a successful digital asset succession plan for a small business with current legal mechanisms and best business practices.","Hopkins, Jamie P, JD RICP;Lipin, Ilya, JD, LLM;Whitham, John", Feature,Sep,2014,Journal of Financial Planning," Studies , Digital asset management , Small business , Succession planning , United States--US",ProQuest One Academic
A Household Variable: The Holy Grail for the Planning Profession,"The financial planning profession is a household-based profession trapped in an account-based world. Accounts can be easily tracked and identified because they possess an account number, a tax ID number, and a legal registration. They can be easily and specifically identified. For most people in ""financial services,"" that is sufficient. Within their world, accounts are simply the fractals possessing tax, ownership, cash flow, and distributory characteristics that they must navigate to avoid unintended outcomes on the path to a client's goal-based success. They are merely the means to an end. To date, the best they seem to have been able to do is either to use metadata or to ""tag"" accounts within a specific environment so that within that environment, accounts are grouped together with a tag much like Tweets can be lumped together by hashtags. The most popular tagging method has been to identify one account as ""primary"" and then connect all of the other accounts to that primary account.","Adkins, Rick, CFP, ChFC, CLU", Feature,Aug,2014,Journal of Financial Planning," Financial planners , Metadata , Client relationships , Cash flow , United States--US",ProQuest One Academic
Credits,,Anonymous, Credits,Aug,2014,Journal of Financial Planning,,ProQuest One Academic
Table of Contents,,Anonymous, Tbl Of Contents,Aug,2014,Journal of Financial Planning,,ProQuest One Academic
"Save Money, Feel Powerful, Repeat","According to a study conducted by the Stanford School of Business, individuals who feel powerful are more motivated to save. The cycle consists of saving money, feeling powerful, and feeling more inclined to continue to save. Individuals who felt powerless, on the other hand, tended to save less money and engage in consumption to compensate for their lack of power. The findings from this study, which included results from a series of five experiments, will be published in October in the Journal of Consumer Research.",Anonymous, News,Aug,2014,Journal of Financial Planning," Research , Motivation , Financial planning , Savings , United States--US",ProQuest One Academic
"David Allen on Being More Productive, Less Stressed, and Having a Mind Like Water","In an interview, David Allen, author, lecturer, founder of the David Allen Co, talked about the major tenets of the book Getting Things Done, as well as some of this thoughts related to success, entrepreneurship, and business growth. If Allen added up how many things he has actually done for money, it would be at least 35, but he wouldn't call them professions. His first one was at age 5 on the sidewalk when he charged $5 for his magic show. His interest in models about how things work from a larger perspective or a more invisible perspective didn't let him get real comfortable staying very long in anything. People need space not time. The real productivity increase doesn't come from some way to get more time; it's some way to get more space and that's not just physical space. The weekly review is the most commonly needed and lacking review in the professional world.","Schulaka, Carly", Interview,Aug,2014,Journal of Financial Planning," Writers , Careers , Productivity , Executives , Business models , United States--US , Allen, David",ProQuest One Academic
